title,description,content,text_for_analysis,url,published_at,source,author,image_url
The unconventional logic behind SpaceX's $1.75 trillion price tag,"Wall Street is employing unconventional benchmarks, comparing SpaceX to tech firms like Palantir and AI infrastructure players, to justify a potential $1.75 trillion IPO valuation. This approach aims to capture the company's unique secular growth potential, m…",Wall Street is reaching for some unusual yardsticks to price Elon Musk's SpaceX. At least one of SpaceX's large institutional investors is privately benchmarking the rocket and satellite company not … [+7232 chars],"The unconventional logic behind SpaceX's $1.75 trillion price tag Wall Street is employing unconventional benchmarks, comparing SpaceX to tech firms like Palantir and AI infrastructure players, to justify a potential $1.75 trillion IPO valuation. This approach aims to capture the company's unique secular growth potential, m… Wall Street is reaching for some unusual yardsticks to price Elon Musk's SpaceX. At least one of SpaceX's large institutional investors is privately benchmarking the rocket and satellite company not … [+7232 chars]",https://economictimes.indiatimes.com/tech/startups/the-unconventional-logic-behind-spacexs-1-75-trillion-price-tag/articleshow/130167806.cms,2026-04-10T11:07:57+00:00,The Times of India,Reuters,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-69702,resizemode-75,msid-130167806/tech/startups/the-unconventional-logic-behind-spacexs-1-75-trillion-price-tag.jpg"
Morning Brief: A big day for inflation,"The Fed's preferred inflation gauge showed pricing pressures remained elevated for the month of February, even before the US and Israel began their military ...","Good morning! Oil prices surged on Thursday as the ceasefire's precariousness became clearer, but markets reversed losses after Israel agreed to negotiations with Lebanon.
But the stock market didn'… [+9607 chars]","Morning Brief: A big day for inflation The Fed's preferred inflation gauge showed pricing pressures remained elevated for the month of February, even before the US and Israel began their military ... Good morning! Oil prices surged on Thursday as the ceasefire's precariousness became clearer, but markets reversed losses after Israel agreed to negotiations with Lebanon. But the stock market didn'… [+9607 chars]",https://finance.yahoo.com/news/morning-brief-a-big-day-for-inflation-100052155.html,2026-04-10T10:00:52+00:00,Yahoo Entertainment,Hamza Shaban,https://s.yimg.com/ny/api/res/1.2/1zwMhDOoAPUaU2PPk1g6Wg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03MjM7Y2Y9d2VicA--/https://s.yimg.com/os/creatr-uploaded-images/2026-04/4442d6f0-345d-11f1-b367-42741f02b771
Alphabet steamrolled BI's stock bracket. Here are 4 things your picks revealed.,Bracket voters largely opted for more proven companies that they interact with on a daily basis.,"After three weeks of voting and general bracket madness, First Trade readership has selected ALPHABETas the Magnificent 7 (plus Palantir) stock they'd most like to own for the next 10 years.
The Goo… [+2772 chars]","Alphabet steamrolled BI's stock bracket. Here are 4 things your picks revealed. Bracket voters largely opted for more proven companies that they interact with on a daily basis. After three weeks of voting and general bracket madness, First Trade readership has selected ALPHABETas the Magnificent 7 (plus Palantir) stock they'd most like to own for the next 10 years. The Goo… [+2772 chars]",https://www.businessinsider.com/march-madness-style-bracket-crowned-alphabet-as-top-stock-pick-2026-4,2026-04-10T09:50:01+00:00,Business Insider,jciolli@businessinsider.com (Joe Ciolli),https://i.insider.com/69d812f6f976785dcb190072?width=1200&format=jpeg
Palantir shares sink as Michael Burry revives AI competition fears,Palantir (PLTR) fell sharply after Michael Burry put a familiar pressure point back in front of investors: competition in enterprise AI. Business Insider...,"Palantir (PLTR) fell sharply after Michael Burry put a familiar pressure point back in front of investors: competition in enterprise AI. Business Insider,quotingBurrys now-deleted X post, said he arg… [+3859 chars]","Palantir shares sink as Michael Burry revives AI competition fears Palantir (PLTR) fell sharply after Michael Burry put a familiar pressure point back in front of investors: competition in enterprise AI. Business Insider... Palantir (PLTR) fell sharply after Michael Burry put a familiar pressure point back in front of investors: competition in enterprise AI. Business Insider,quotingBurrys now-deleted X post, said he arg… [+3859 chars]",https://www.thestreet.com/investing/stocks/palantir-shares-sink-as-michael-burry-revives-ai-competition-fears,2026-04-10T09:03:00+00:00,TheStreet,Tyler Bundy,https://s.yimg.com/os/en/thestreet_881/1cd9f8f2b0e00c991e141c862a8a5a66
Michael Burry says Anthropic is 'eating Palantir's lunch' as enterprise AI spending shifts - Business Insider,"Michael Burry says Anthropic is 'eating Palantir's lunch' as enterprise AI spending shiftsBusiness Insider Palantir stock plunges after 'Big Short' investor Michael Burry says Anthropic is eating its lunchYahoo Finance Software stocks selloff: PLTR, MSFT drop…",The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.,"Michael Burry says Anthropic is 'eating Palantir's lunch' as enterprise AI spending shifts - Business Insider Michael Burry says Anthropic is 'eating Palantir's lunch' as enterprise AI spending shiftsBusiness Insider Palantir stock plunges after 'Big Short' investor Michael Burry says Anthropic is eating its lunchYahoo Finance Software stocks selloff: PLTR, MSFT drop… The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.",https://slashdot.org/firehose.pl?op=view&amp;id=181507092,2026-04-09T22:52:40+00:00,Slashdot.org,feedfeeder,
Here are the companies that have fled California — including the company that’s tracking the exodus,"Numerous companies have left California in recent years to escape rising costs, extensive regulations, and high taxes.","Numerous companies have left California in recent years to escape rising costs, extensive regulations and high taxes.
Even the company that tracks companies leaving California, CBRE, has left Califo… [+5177 chars]","Here are the companies that have fled California — including the company that’s tracking the exodus Numerous companies have left California in recent years to escape rising costs, extensive regulations, and high taxes. Numerous companies have left California in recent years to escape rising costs, extensive regulations and high taxes. Even the company that tracks companies leaving California, CBRE, has left Califo… [+5177 chars]",https://nypost.com/2026/04/09/us-news/these-companies-have-shifted-their-headquarters-out-of-california/,2026-04-09T22:19:17+00:00,New York Post,Ross O'Keefe,https://nypost.com/wp-content/uploads/sites/2/2026/04/125321858.jpg?quality=75&strip=all&w=1200
"Stock Market Today, April 9: Palantir Drops After Michael Burry Warns of Rising Competition From Anthropic",,"If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]","Stock Market Today, April 9: Palantir Drops After Michael Burry Warns of Rising Competition From Anthropic If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_f0b52b59-2b44-43c9-9019-26db762e854c,2026-04-09T21:31:50+00:00,Yahoo Entertainment,,
Palantir Stock Slumps on Michael Burry Comments. Should You Buy the Dip or Stay Away?,,"If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]","Palantir Stock Slumps on Michael Burry Comments. Should You Buy the Dip or Stay Away? If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3799454d-4d0a-4cd0-beca-a3b3bc874fc2,2026-04-09T18:47:29+00:00,Yahoo Entertainment,,
Software slumps again with growth hopes ‘dashed on the rocks’,"Shares of software companies fell on Thursday, in the latest example of the group slumping amid concerns about disruption from AI. Read here","Shares of software companies fell on Thursday, in the latest example of the group slumping amid concerns about disruption from artificial intelligence services.
THIS CONTENT IS RESERVED FOR SUBSCRIB… [+4767 chars]","Software slumps again with growth hopes ‘dashed on the rocks’ Shares of software companies fell on Thursday, in the latest example of the group slumping amid concerns about disruption from AI. Read here Shares of software companies fell on Thursday, in the latest example of the group slumping amid concerns about disruption from artificial intelligence services. THIS CONTENT IS RESERVED FOR SUBSCRIB… [+4767 chars]",https://financialpost.com/investing/software-slumps-growth-hopes-dashed,2026-04-09T18:31:59+00:00,Financial Post,Bloomberg News,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2026/04/0410-mg-tech-shares.jpg
Palantir stock plunges after 'Big Short' investor Michael Burry says Anthropic is eating its lunch,"Burry cites Anthropic's meteoric $30 billion revenue climb as proof that ""brains"" will eat ""infrastructure"" in the AI arms race.","""Big Short"" investor Michael Burry has long been a contrarian and now he's picking bones with Palantir Technologies (PLTR).
In a characteristically blunt post on X this week, Burry claimed that AI s… [+4226 chars]","Palantir stock plunges after 'Big Short' investor Michael Burry says Anthropic is eating its lunch Burry cites Anthropic's meteoric $30 billion revenue climb as proof that ""brains"" will eat ""infrastructure"" in the AI arms race. ""Big Short"" investor Michael Burry has long been a contrarian and now he's picking bones with Palantir Technologies (PLTR). In a characteristically blunt post on X this week, Burry claimed that AI s… [+4226 chars]",https://finance.yahoo.com/news/palantir-stock-plunges-after-big-short-investor-michael-burry-says-anthropic-is-eating-its-lunch-171120431.html,2026-04-09T17:11:20+00:00,Yahoo Entertainment,Francisco Velasquez,https://s.yimg.com/ny/api/res/1.2/JfifMCt8QpqdlkTYanBGDg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MTc-/https://s.yimg.com/os/creatr-uploaded-images/2021-02/ddc0fec0-6ae5-11eb-8fff-ee2032cdaf88
